piezo amplitude phase
4.163735E-08 2.578400E-08 -9.008789E+01
4.157594E-08 2.573432E-08 -9.009888E+01
4.151452E-08 2.572881E-08 -9.012634E+01
4.145311E-08 2.573322E-08 -9.009888E+01
4.139170E-08 2.573212E-08 -9.007141E+01
4.133029E-08 2.575640E-08 -9.008240E+01
4.126888E-08 2.573322E-08 -8.995056E+01
4.120746E-08 2.578069E-08 -9.008240E+01
4.114605E-08 2.577076E-08 -9.003296E+01
4.108464E-08 2.578180E-08 -9.005493E+01
4.102323E-08 2.574978E-08 -8.997253E+01
4.096182E-08 2.575088E-08 -8.993408E+01
4.090040E-08 2.575751E-08 -9.002197E+01
4.083899E-08 2.577959E-08 -9.000549E+01
4.077758E-08 2.575530E-08 -9.002747E+01
4.071617E-08 2.574205E-08 -9.004944E+01
4.065476E-08 2.569900E-08 -8.998352E+01
4.059334E-08 2.571666E-08 -8.998352E+01
4.053193E-08 2.571997E-08 -9.002197E+01
4.047052E-08 2.566367E-08 -9.007141E+01
4.040911E-08 2.567692E-08 -9.006592E+01
4.034770E-08 2.574647E-08 -9.002197E+01
4.028628E-08 2.580056E-08 -8.995056E+01
4.022487E-08 2.576303E-08 -9.005493E+01
4.016346E-08 2.575309E-08 -9.010986E+01
4.010205E-08 2.576192E-08 -9.021424E+01
4.004064E-08 2.574426E-08 -9.010986E+01
3.997922E-08 2.576744E-08 -9.001648E+01
3.991781E-08 2.580277E-08 -9.000000E+01
3.985640E-08 2.577076E-08 -8.997253E+01
3.979499E-08 2.575530E-08 -8.996155E+01
3.973358E-08 2.573432E-08 -8.990112E+01
3.967216E-08 2.575640E-08 -8.999451E+01
3.961075E-08 2.580277E-08 -8.998901E+01
3.954934E-08 2.577959E-08 -9.004395E+01
3.948793E-08 2.571666E-08 -9.010437E+01
3.942652E-08 2.572549E-08 -9.000000E+01
3.936510E-08 2.573432E-08 -8.991760E+01
3.930369E-08 2.573212E-08 -8.991211E+01
3.924228E-08 2.574205E-08 -8.995056E+01
3.918087E-08 2.577407E-08 -9.000549E+01
3.911946E-08 2.573432E-08 -9.001099E+01
3.905804E-08 2.573101E-08 -9.000549E+01
3.899663E-08 2.572329E-08 -9.007690E+01
3.893522E-08 2.571335E-08 -9.009888E+01
3.887381E-08 2.570673E-08 -9.011536E+01
3.881240E-08 2.572770E-08 -9.002197E+01
3.875098E-08 2.573101E-08 -8.992859E+01
3.868957E-08 2.573543E-08 -8.994507E+01
3.862816E-08 2.578511E-08 -8.998901E+01
3.856675E-08 2.576744E-08 -9.004395E+01
3.850534E-08 2.574647E-08 -8.995605E+01
3.844392E-08 2.571335E-08 -8.992859E+01
3.838251E-08 2.571114E-08 -9.004944E+01
3.832110E-08 2.568354E-08 -9.005493E+01
3.825969E-08 2.575088E-08 -9.015930E+01
3.819828E-08 2.571997E-08 -9.004944E+01
3.813686E-08 2.570231E-08 -9.010986E+01
3.807545E-08 2.570893E-08 -9.004944E+01
3.801404E-08 2.570452E-08 -9.004944E+01
3.795263E-08 2.569569E-08 -9.008789E+01
3.789122E-08 2.576524E-08 -9.008789E+01
3.782980E-08 2.572218E-08 -9.007141E+01
3.776839E-08 2.569569E-08 -8.999451E+01
3.770698E-08 2.572881E-08 -9.001648E+01
3.764557E-08 2.575088E-08 -8.990662E+01
3.758416E-08 2.575751E-08 -8.994507E+01
3.752274E-08 2.576855E-08 -8.991760E+01
3.746133E-08 2.576303E-08 -8.992859E+01
3.739992E-08 2.573101E-08 -9.003296E+01
3.733851E-08 2.575861E-08 -8.996155E+01
3.727710E-08 2.572770E-08 -8.997803E+01
3.721568E-08 2.574205E-08 -8.998901E+01
3.715427E-08 2.572770E-08 -9.008240E+01
3.709286E-08 2.572108E-08 -9.003296E+01
3.703145E-08 2.571445E-08 -9.008789E+01
3.697004E-08 2.571887E-08 -9.015930E+01
3.690862E-08 2.572991E-08 -9.012085E+01
3.684721E-08 2.571335E-08 -9.008240E+01
3.678580E-08 2.573543E-08 -9.007141E+01
3.672439E-08 2.572991E-08 -9.009888E+01
3.666297E-08 2.570010E-08 -9.008789E+01
3.660156E-08 2.570341E-08 -9.004944E+01
3.654015E-08 2.569900E-08 -9.003845E+01
3.647874E-08 2.575309E-08 -9.006043E+01
3.641733E-08 2.572770E-08 -8.996704E+01
3.635591E-08 2.574978E-08 -9.001648E+01
3.629450E-08 2.577848E-08 -9.001648E+01
3.623309E-08 2.579173E-08 -9.007690E+01
3.617168E-08 2.574205E-08 -9.016480E+01
3.611027E-08 2.571445E-08 -9.012085E+01
3.604885E-08 2.569789E-08 -9.006592E+01
3.598744E-08 2.575420E-08 -9.004944E+01
3.592603E-08 2.578400E-08 -9.009338E+01
3.586462E-08 2.576524E-08 -9.002197E+01
3.580321E-08 2.579283E-08 -9.001648E+01
3.574179E-08 2.579725E-08 -9.002747E+01
3.568038E-08 2.576524E-08 -8.999451E+01
3.561897E-08 2.574426E-08 -9.000549E+01
3.555756E-08 2.568796E-08 -9.000000E+01
3.549615E-08 2.569458E-08 -8.997253E+01
3.543473E-08 2.573874E-08 -9.000549E+01
3.537332E-08 2.572991E-08 -9.000549E+01
3.531191E-08 2.577186E-08 -8.989563E+01
3.525050E-08 2.572549E-08 -9.003845E+01
3.518909E-08 2.575751E-08 -9.004944E+01
3.512767E-08 2.570893E-08 -9.003296E+01
3.506626E-08 2.568796E-08 -9.001648E+01
3.500485E-08 2.569237E-08 -9.006592E+01
3.494344E-08 2.571777E-08 -9.012634E+01
3.488203E-08 2.572108E-08 -9.000549E+01
3.482061E-08 2.573984E-08 -9.003296E+01
3.475920E-08 2.571225E-08 -8.993957E+01
3.469779E-08 2.569569E-08 -8.996704E+01
3.463638E-08 2.568354E-08 -8.998352E+01
3.457497E-08 2.568685E-08 -9.001099E+01
3.451355E-08 2.571004E-08 -9.005493E+01
3.445214E-08 2.571114E-08 -9.006043E+01
3.439073E-08 2.573764E-08 -9.001099E+01
3.432932E-08 2.578952E-08 -9.006043E+01
3.426791E-08 2.577076E-08 -8.998901E+01
3.420649E-08 2.574978E-08 -9.009338E+01
3.414508E-08 2.577296E-08 -9.009888E+01
3.408367E-08 2.575530E-08 -9.015930E+01
3.402226E-08 2.579173E-08 -9.012634E+01
3.396085E-08 2.576634E-08 -9.019776E+01
3.389943E-08 2.572108E-08 -9.015381E+01
3.383802E-08 2.569900E-08 -9.009888E+01
3.377661E-08 2.570562E-08 -9.009888E+01
3.371520E-08 2.574095E-08 -9.006592E+01
3.365379E-08 2.573322E-08 -8.996704E+01
3.359237E-08 2.575199E-08 -8.998352E+01
3.353096E-08 2.576744E-08 -9.003296E+01
3.346955E-08 2.572108E-08 -9.007690E+01
3.340814E-08 2.572660E-08 -9.001099E+01
3.334673E-08 2.573432E-08 -9.005493E+01
3.328531E-08 2.574757E-08 -8.998352E+01
3.322390E-08 2.574095E-08 -9.002747E+01
3.316249E-08 2.573764E-08 -9.003845E+01
3.310108E-08 2.573764E-08 -9.006043E+01
3.303967E-08 2.575309E-08 -9.001099E+01
3.297825E-08 2.573432E-08 -9.003296E+01
3.291684E-08 2.573322E-08 -8.991760E+01
3.285543E-08 2.570673E-08 -8.998352E+01
3.279402E-08 2.569789E-08 -9.003845E+01
3.273261E-08 2.571004E-08 -9.009888E+01
3.267119E-08 2.572329E-08 -9.001648E+01
3.260978E-08 2.572991E-08 -8.999451E+01
3.254837E-08 2.569348E-08 -9.010986E+01
3.248696E-08 2.571004E-08 -9.006043E+01
3.242555E-08 2.571556E-08 -9.006043E+01
3.236413E-08 2.572881E-08 -8.999451E+01
3.230272E-08 2.572218E-08 -8.996155E+01
3.224131E-08 2.579283E-08 -8.993957E+01
3.217990E-08 2.573874E-08 -9.001648E+01
3.211849E-08 2.573653E-08 -8.998901E+01
3.205707E-08 2.573212E-08 -8.991211E+01
3.199566E-08 2.571225E-08 -8.986267E+01
3.193425E-08 2.568134E-08 -8.998352E+01
3.187284E-08 2.571225E-08 -8.997803E+01
3.181143E-08 2.572770E-08 -8.993957E+01
3.175001E-08 2.575309E-08 -8.995056E+01
3.168860E-08 2.574205E-08 -8.998901E+01
3.162719E-08 2.573543E-08 -8.996155E+01
3.156578E-08 2.572881E-08 -8.993957E+01
3.150437E-08 2.570010E-08 -9.004395E+01
3.144295E-08 2.569348E-08 -8.998901E+01
3.138154E-08 2.568244E-08 -9.004395E+01
3.132013E-08 2.569679E-08 -8.999451E+01
3.125872E-08 2.571004E-08 -9.007690E+01
3.119731E-08 2.571004E-08 -9.012085E+01
3.113589E-08 2.571997E-08 -9.019776E+01
3.107448E-08 2.567913E-08 -9.008240E+01
3.101307E-08 2.567582E-08 -9.008789E+01
3.095166E-08 2.572549E-08 -9.012634E+01
3.089025E-08 2.569017E-08 -9.005493E+01
3.082883E-08 2.569017E-08 -9.006592E+01
3.076742E-08 2.570341E-08 -9.004395E+01
3.070601E-08 2.570121E-08 -8.998901E+01
3.064460E-08 2.566367E-08 -8.998352E+01
3.058319E-08 2.568575E-08 -8.991211E+01
3.052177E-08 2.570893E-08 -9.001099E+01
3.046036E-08 2.572108E-08 -9.000000E+01
3.039895E-08 2.575972E-08 -9.008240E+01
3.033754E-08 2.579394E-08 -9.005493E+01
3.027613E-08 2.575530E-08 -8.999451E+01
3.021471E-08 2.572549E-08 -9.003845E+01
3.015330E-08 2.571114E-08 -9.012085E+01
3.009189E-08 2.570673E-08 -8.997803E+01
3.003048E-08 2.569017E-08 -8.985168E+01
2.996906E-08 2.576855E-08 -8.985168E+01
2.990765E-08 2.572439E-08 -9.000549E+01
2.984624E-08 2.576192E-08 -9.004944E+01
2.978483E-08 2.572991E-08 -9.011536E+01
2.972342E-08 2.571556E-08 -9.010437E+01
2.966200E-08 2.570562E-08 -9.014282E+01
2.960059E-08 2.569569E-08 -9.006043E+01
2.953918E-08 2.576082E-08 -9.007141E+01
2.947777E-08 2.574095E-08 -9.003845E+01
2.941636E-08 2.578731E-08 -8.998901E+01
2.935494E-08 2.573874E-08 -9.002197E+01
2.929353E-08 2.577186E-08 -9.000549E+01
2.923212E-08 2.578290E-08 -9.007141E+01
2.917071E-08 2.576965E-08 -9.004395E+01
2.910930E-08 2.572549E-08 -8.997803E+01
2.904788E-08 2.571445E-08 -9.002747E+01
2.898647E-08 2.574978E-08 -9.004395E+01
2.892506E-08 2.574316E-08 -9.004395E+01
2.886365E-08 2.576082E-08 -9.000000E+01
2.880224E-08 2.578952E-08 -9.013733E+01
2.874082E-08 2.577738E-08 -9.012085E+01
2.867941E-08 2.575088E-08 -9.003296E+01
2.861800E-08 2.570452E-08 -8.996704E+01
2.855659E-08 2.573653E-08 -8.993957E+01
2.849518E-08 2.573874E-08 -9.000000E+01
2.843376E-08 2.576082E-08 -9.002747E+01
2.837235E-08 2.573984E-08 -9.010437E+01
2.831094E-08 2.570783E-08 -9.002197E+01
2.824953E-08 2.568023E-08 -8.997253E+01
2.818812E-08 2.568906E-08 -8.995056E+01
2.812670E-08 2.571887E-08 -9.007141E+01
2.806529E-08 2.574757E-08 -8.991760E+01
2.800388E-08 2.575861E-08 -9.002747E+01
2.794247E-08 2.571225E-08 -9.010437E+01
2.788106E-08 2.571114E-08 -9.017029E+01
2.781964E-08 2.574205E-08 -9.003296E+01
2.775823E-08 2.573653E-08 -9.001648E+01
2.769682E-08 2.576082E-08 -9.006592E+01
2.763541E-08 2.576524E-08 -9.004944E+01
2.757400E-08 2.573212E-08 -9.006592E+01
2.751258E-08 2.575972E-08 -9.013733E+01
2.745117E-08 2.575309E-08 -9.018128E+01
2.738976E-08 2.579615E-08 -9.000549E+01
2.732835E-08 2.578842E-08 -9.007141E+01
